product_id,product_name,category,sub_category,unit_price
1001,Product_1001,Sports,Premium,1650.31
1002,Product_1002,Home,Standard,733.46
1003,Product_1003,Wearable,Standard,1395.48
1004,Product_1004,Audio,Basic,309.88
1005,Product_1005,Accessories,Basic,1149.94
1006,Product_1006,Accessories,Standard,1542.24
1007,Product_1007,Home,Premium,513.13
1008,Product_1008,Electronics,Basic,1644.55
1009,Product_1009,Accessories,Standard,691.38
1010,Product_1010,Sports,Basic,533.61
1011,Product_1011,Electronics,Standard,937.76
1012,Product_1012,Wearable,Basic,1198.73
1013,Product_1013,Audio,Premium,2395.1
1014,Product_1014,Electronics,Basic,1356.32
1015,Product_1015,Wearable,Premium,750.69
1016,Product_1016,Audio,Premium,1200.93
1017,Product_1017,Wearable,Basic,942.77
1018,Product_1018,Wearable,Premium,1689.42
1019,Product_1019,Audio,Premium,2101.2
1020,Product_1020,Electronics,Premium,2411.24
1021,Product_1021,Accessories,Standard,1189.22
1022,Product_1022,Wearable,Standard,2334.96
1023,Product_1023,Audio,Premium,1848.72
1024,Product_1024,Home,Standard,382.7
1025,Product_1025,Electronics,Standard,493.21
1026,Product_1026,Sports,Premium,253.05
1027,Product_1027,Electronics,Premium,1403.63
1028,Product_1028,Audio,Standard,1750.08
1029,Product_1029,Sports,Standard,303.72
1030,Product_1030,Accessories,Premium,1461.86
